GeneSet_Category	GeneSet_Sub_Category	GeneSet_Name
H: Hallmark Gene Sets	NA	HALLMARK_OXIDATIVE_PHOSPHORYLATION
H: Hallmark Gene Sets	NA	HALLMARK_P53_PATHWAY
H: Hallmark Gene Sets	NA	HALLMARK_PANCREAS_BETA_CELLS
H: Hallmark Gene Sets	NA	HALLMARK_PEROXISOME
H: Hallmark Gene Sets	NA	HALLMARK_PI3K_AKT_MTOR_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_PROTEIN_SECRETION
H: Hallmark Gene Sets	NA	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
H: Hallmark Gene Sets	NA	HALLMARK_SPERMATOGENESIS
H: Hallmark Gene Sets	NA	HALLMARK_TGF_BETA_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_TNFA_SIGNALING_VIA_NFKB
H: Hallmark Gene Sets	NA	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
H: Hallmark Gene Sets	NA	HALLMARK_UV_RESPONSE_DN
H: Hallmark Gene Sets	NA	HALLMARK_UV_RESPONSE_UP
H: Hallmark Gene Sets	NA	HALLMARK_WNT_BETA_CATENIN_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_XENOBIOTIC_METABOLISM
C1: Positional Gene Sets	NA	chr10p12
C1: Positional Gene Sets	NA	chr10p13
C1: Positional Gene Sets	NA	chr10p14
C1: Positional Gene Sets	NA	chr10p15
C1: Positional Gene Sets	NA	chr10q11
C1: Positional Gene Sets	NA	chr10q21
C1: Positional Gene Sets	NA	chr10q22
C1: Positional Gene Sets	NA	chr10q23
C1: Positional Gene Sets	NA	chr10q24
C1: Positional Gene Sets	NA	chr10q25
C1: Positional Gene Sets	NA	chr10q26
C1: Positional Gene Sets	NA	chr11p11
C1: Positional Gene Sets	NA	chr11p12
C1: Positional Gene Sets	NA	chr11p14
C1: Positional Gene Sets	NA	chr11q12
C1: Positional Gene Sets	NA	chr11q13
C1: Positional Gene Sets	NA	chr11q14
C1: Positional Gene Sets	NA	chr11q22
C1: Positional Gene Sets	NA	chr11q23
C1: Positional Gene Sets	NA	chr11q24
C1: Positional Gene Sets	NA	chr11q25
C1: Positional Gene Sets	NA	chr12p11
C1: Positional Gene Sets	NA	chr12p12
C1: Positional Gene Sets	NA	chr12p13
C1: Positional Gene Sets	NA	chr12q12
C1: Positional Gene Sets	NA	chr12q13
C1: Positional Gene Sets	NA	chr12q14
C1: Positional Gene Sets	NA	chr12q15
C1: Positional Gene Sets	NA	chr12q21
C1: Positional Gene Sets	NA	chr12q22
C1: Positional Gene Sets	NA	chr12q23
C1: Positional Gene Sets	NA	chr12q24
C1: Positional Gene Sets	NA	chr13q12
C1: Positional Gene Sets	NA	chr13q13
C1: Positional Gene Sets	NA	chr13q14
C1: Positional Gene Sets	NA	chr13q22
C1: Positional Gene Sets	NA	chr13q31
C1: Positional Gene Sets	NA	chr13q32
C1: Positional Gene Sets	NA	chr13q33
C1: Positional Gene Sets	NA	chr14q11
C1: Positional Gene Sets	NA	chr14q12
C1: Positional Gene Sets	NA	chr14q13
C1: Positional Gene Sets	NA	chr14q21
C1: Positional Gene Sets	NA	chr14q22
C1: Positional Gene Sets	NA	chr14q23
C1: Positional Gene Sets	NA	chr14q24
C1: Positional Gene Sets	NA	chr14q31
C1: Positional Gene Sets	NA	chr14q32
C1: Positional Gene Sets	NA	chr15q11
C1: Positional Gene Sets	NA	chr15q12
C1: Positional Gene Sets	NA	chr15q13
C1: Positional Gene Sets	NA	chr15q14
C1: Positional Gene Sets	NA	chr15q15
C1: Positional Gene Sets	NA	chr15q21
C1: Positional Gene Sets	NA	chr15q22
C1: Positional Gene Sets	NA	chr15q23
C1: Positional Gene Sets	NA	chr15q24
C1: Positional Gene Sets	NA	chr15q25
C1: Positional Gene Sets	NA	chr15q26
C1: Positional Gene Sets	NA	chr16p11
C1: Positional Gene Sets	NA	chr16p12
C1: Positional Gene Sets	NA	chr16p13
C1: Positional Gene Sets	NA	chr16q11
C1: Positional Gene Sets	NA	chr16q12
C1: Positional Gene Sets	NA	chr16q13
C1: Positional Gene Sets	NA	chr16q21
C1: Positional Gene Sets	NA	chr16q22
C1: Positional Gene Sets	NA	chr16q23
C1: Positional Gene Sets	NA	chr16q24
C1: Positional Gene Sets	NA	chr17p11
C1: Positional Gene Sets	NA	chr17p12
C1: Positional Gene Sets	NA	chr17p13
C1: Positional Gene Sets	NA	chr17q11
C1: Positional Gene Sets	NA	chr17q12
C1: Positional Gene Sets	NA	chr17q21
C1: Positional Gene Sets	NA	chr17q22
C1: Positional Gene Sets	NA	chr17q23
C1: Positional Gene Sets	NA	chr17q24
C1: Positional Gene Sets	NA	chr17q25
C1: Positional Gene Sets	NA	chr18p11
C1: Positional Gene Sets	NA	chr18q11
C1: Positional Gene Sets	NA	chr18q12
C1: Positional Gene Sets	NA	chr18q21
C1: Positional Gene Sets	NA	chr18q22
C1: Positional Gene Sets	NA	chr18q23
C1: Positional Gene Sets	NA	chr19p12
C1: Positional Gene Sets	NA	chr19p13
C1: Positional Gene Sets	NA	chr19q13
C1: Positional Gene Sets	NA	chr1p12
C1: Positional Gene Sets	NA	chr1p13
C1: Positional Gene Sets	NA	chr1p21
C1: Positional Gene Sets	NA	chr1p22
C1: Positional Gene Sets	NA	chr1p31
C1: Positional Gene Sets	NA	chr1p32
C1: Positional Gene Sets	NA	chr1p33
C1: Positional Gene Sets	NA	chr1p34
C1: Positional Gene Sets	NA	chr1p35
C1: Positional Gene Sets	NA	chr1p36
C1: Positional Gene Sets	NA	chr1q21
C1: Positional Gene Sets	NA	chr1q22
C1: Positional Gene Sets	NA	chr1q23
C1: Positional Gene Sets	NA	chr1q24
C1: Positional Gene Sets	NA	chr1q25
C1: Positional Gene Sets	NA	chr1q31
C1: Positional Gene Sets	NA	chr1q32
C1: Positional Gene Sets	NA	chr1q41
C1: Positional Gene Sets	NA	chr1q42
C1: Positional Gene Sets	NA	chr1q43
C1: Positional Gene Sets	NA	chr20p11
C1: Positional Gene Sets	NA	chr20p12
C1: Positional Gene Sets	NA	chr20p13
C1: Positional Gene Sets	NA	chr20q11
C1: Positional Gene Sets	NA	chr20q12
C1: Positional Gene Sets	NA	chr20q13
C1: Positional Gene Sets	NA	chr21p11
C1: Positional Gene Sets	NA	chr21p12
C1: Positional Gene Sets	NA	chr21q11
C1: Positional Gene Sets	NA	chr21q21
C1: Positional Gene Sets	NA	chr21q22
C1: Positional Gene Sets	NA	chr22q11
C1: Positional Gene Sets	NA	chr22q12
C1: Positional Gene Sets	NA	chr22q13
C1: Positional Gene Sets	NA	chr2p11
C1: Positional Gene Sets	NA	chr2p12
C1: Positional Gene Sets	NA	chr2p13
C1: Positional Gene Sets	NA	chr2p14
C1: Positional Gene Sets	NA	chr2p15
C1: Positional Gene Sets	NA	chr2p16
C1: Positional Gene Sets	NA	chr2p21
C1: Positional Gene Sets	NA	chr2p22
C1: Positional Gene Sets	NA	chr2p23
C1: Positional Gene Sets	NA	chr2p24
C1: Positional Gene Sets	NA	chr2p25
C1: Positional Gene Sets	NA	chr2q11
C1: Positional Gene Sets	NA	chr2q12
C1: Positional Gene Sets	NA	chr2q13
C1: Positional Gene Sets	NA	chr2q14
C1: Positional Gene Sets	NA	chr2q21
C1: Positional Gene Sets	NA	chr2q22
C1: Positional Gene Sets	NA	chr2q23
C1: Positional Gene Sets	NA	chr2q24
C1: Positional Gene Sets	NA	chr2q31
C1: Positional Gene Sets	NA	chr2q32
C1: Positional Gene Sets	NA	chr2q33
C1: Positional Gene Sets	NA	chr2q34
C1: Positional Gene Sets	NA	chr2q35
C1: Positional Gene Sets	NA	chr2q36
C1: Positional Gene Sets	NA	chr3p11
C1: Positional Gene Sets	NA	chr3p12
C1: Positional Gene Sets	NA	chr3p13
C1: Positional Gene Sets	NA	chr3p14
C1: Positional Gene Sets	NA	chr3p21
C1: Positional Gene Sets	NA	chr3p22
C1: Positional Gene Sets	NA	chr3p23
C1: Positional Gene Sets	NA	chr3p24
C1: Positional Gene Sets	NA	chr3p25
C1: Positional Gene Sets	NA	chr3p26
C1: Positional Gene Sets	NA	chr3q11
C1: Positional Gene Sets	NA	chr3q12
C1: Positional Gene Sets	NA	chr3q13
C1: Positional Gene Sets	NA	chr3q21
C1: Positional Gene Sets	NA	chr3q22
C1: Positional Gene Sets	NA	chr3q23
C1: Positional Gene Sets	NA	chr3q25
C1: Positional Gene Sets	NA	chr3q26
C1: Positional Gene Sets	NA	chr3q27
C1: Positional Gene Sets	NA	chr3q28
C1: Positional Gene Sets	NA	chr3q29
C1: Positional Gene Sets	NA	chr4p11
C1: Positional Gene Sets	NA	chr4p12
C1: Positional Gene Sets	NA	chr4p13
C1: Positional Gene Sets	NA	chr4p14
C1: Positional Gene Sets	NA	chr4p15
C1: Positional Gene Sets	NA	chr4p16
C1: Positional Gene Sets	NA	chr4q12
C1: Positional Gene Sets	NA	chr4q22
C1: Positional Gene Sets	NA	chr4q24
C1: Positional Gene Sets	NA	chr4q25
C1: Positional Gene Sets	NA	chr4q26
C1: Positional Gene Sets	NA	chr4q27
C1: Positional Gene Sets	NA	chr4q31
C1: Positional Gene Sets	NA	chr4q32
C1: Positional Gene Sets	NA	chr4q33
C1: Positional Gene Sets	NA	chr4q35
C1: Positional Gene Sets	NA	chr5p12
C1: Positional Gene Sets	NA	chr5p13
C1: Positional Gene Sets	NA	chr5p14
C1: Positional Gene Sets	NA	chr5p15
C1: Positional Gene Sets	NA	chr5q11
C1: Positional Gene Sets	NA	chr5q12
C1: Positional Gene Sets	NA	chr5q13
C1: Positional Gene Sets	NA	chr5q14
C1: Positional Gene Sets	NA	chr5q15
C1: Positional Gene Sets	NA	chr5q21
C1: Positional Gene Sets	NA	chr5q22
C1: Positional Gene Sets	NA	chr5q23
C1: Positional Gene Sets	NA	chr5q31
C1: Positional Gene Sets	NA	chr5q33
C1: Positional Gene Sets	NA	chr5q34
C1: Positional Gene Sets	NA	chr5q35
C1: Positional Gene Sets	NA	chr6p11
C1: Positional Gene Sets	NA	chr6p21
C1: Positional Gene Sets	NA	chr6p22
C1: Positional Gene Sets	NA	chr6p23
C1: Positional Gene Sets	NA	chr6p24
C1: Positional Gene Sets	NA	chr6p25
C1: Positional Gene Sets	NA	chr6q11
C1: Positional Gene Sets	NA	chr6q12
C1: Positional Gene Sets	NA	chr6q13
C1: Positional Gene Sets	NA	chr6q14
C1: Positional Gene Sets	NA	chr6q15
C1: Positional Gene Sets	NA	chr6q16
C1: Positional Gene Sets	NA	chr6q21
C1: Positional Gene Sets	NA	chr6q22
C1: Positional Gene Sets	NA	chr6q23
C1: Positional Gene Sets	NA	chr6q24
C1: Positional Gene Sets	NA	chr6q25
C1: Positional Gene Sets	NA	chr6q26
C1: Positional Gene Sets	NA	chr6q27
C1: Positional Gene Sets	NA	chr7p11
C1: Positional Gene Sets	NA	chr7p12
C1: Positional Gene Sets	NA	chr7p13
C1: Positional Gene Sets	NA	chr7p14
C1: Positional Gene Sets	NA	chr7p15
C1: Positional Gene Sets	NA	chr7p21
C1: Positional Gene Sets	NA	chr7p22
C1: Positional Gene Sets	NA	chr7q11
C1: Positional Gene Sets	NA	chr7q21
C1: Positional Gene Sets	NA	chr7q22
C1: Positional Gene Sets	NA	chr7q31
C1: Positional Gene Sets	NA	chr7q32
C1: Positional Gene Sets	NA	chr7q33
C1: Positional Gene Sets	NA	chr7q34
C1: Positional Gene Sets	NA	chr7q35
C1: Positional Gene Sets	NA	chr7q36
C1: Positional Gene Sets	NA	chr8p11
C1: Positional Gene Sets	NA	chr8p12
C1: Positional Gene Sets	NA	chr8p21
C1: Positional Gene Sets	NA	chr8p22
C1: Positional Gene Sets	NA	chr8p23
C1: Positional Gene Sets	NA	chr8q11
C1: Positional Gene Sets	NA	chr8q12
C1: Positional Gene Sets	NA	chr8q13
C1: Positional Gene Sets	NA	chr8q21
C1: Positional Gene Sets	NA	chr8q22
C1: Positional Gene Sets	NA	chr8q23
C1: Positional Gene Sets	NA	chr8q24
C1: Positional Gene Sets	NA	chr9p11
C1: Positional Gene Sets	NA	chr9p12
C1: Positional Gene Sets	NA	chr9p13
C1: Positional Gene Sets	NA	chr9p23
C1: Positional Gene Sets	NA	chr9p24
C1: Positional Gene Sets	NA	chr9q12
C1: Positional Gene Sets	NA	chr9q21
C1: Positional Gene Sets	NA	chr9q22
C1: Positional Gene Sets	NA	chr9q31
C1: Positional Gene Sets	NA	chr9q32
C1: Positional Gene Sets	NA	chr9q33
C1: Positional Gene Sets	NA	chr9q34
C1: Positional Gene Sets	NA	chrXp11
C1: Positional Gene Sets	NA	chrXp21
C1: Positional Gene Sets	NA	chrXp22
C1: Positional Gene Sets	NA	chrXq11
C1: Positional Gene Sets	NA	chrXq12
C1: Positional Gene Sets	NA	chrXq13
C1: Positional Gene Sets	NA	chrXq21
C1: Positional Gene Sets	NA	chrXq22
C1: Positional Gene Sets	NA	chrXq23
C1: Positional Gene Sets	NA	chrXq24
C1: Positional Gene Sets	NA	chrXq25
C1: Positional Gene Sets	NA	chrXq26
C1: Positional Gene Sets	NA	chrXq27
C1: Positional Gene Sets	NA	chrXq28
C1: Positional Gene Sets	NA	chrYp11
C1: Positional Gene Sets	NA	chrYq11
C1: Positional Gene Sets	NA	MT
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD_LIF_SIGNALING_1_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD_LIF_SIGNALING_1_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD_LIF_SIGNALING_2_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD_LIF_SIGNALING_2_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABDELMOHSEN_ELAVL4_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE_INNER_EAR
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE_VEGFA_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE_VEGFA_TARGETS_2HR
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE_VEGFA_TARGETS_30MIN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAMSON_INTERACT_WITH_AIRE
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AFFAR_YY1_TARGETS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AFFAR_YY1_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGARWAL_AKT_PATHWAY_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIGNER_ZEB1_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIYAR_COBRA1_TARGETS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIYAR_COBRA1_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AKL_HTLV1_INFECTION_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AKL_HTLV1_INFECTION_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALA_APOPTOSIS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALFANO_MYC_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO_METASTASIS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO_METASTASIS_EMT_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO_METASTASIS_EMT_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO_METASTASIS_NEURAL_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO_METASTASIS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_DELAYED_EARLY_GENES
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_120_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_120_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_20_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_20_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_240_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_240_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_40_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_40_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_480_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_480_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_60_HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_EGF_RESPONSE_60_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_120_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_20_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_240_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_40_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_480_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT_SERUM_RESPONSE_60_MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMUNDSON_RESPONSE_TO_ARSENITE
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ANDERSEN_LIVER_CANCER_KRT19_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ANDERSEN_LIVER_CANCER_KRT19_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	APPEL_IMATINIB_RESPONSE
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	APPIERTO_RESPONSE_TO_FENRETINIDE_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	APPIERTO_RESPONSE_TO_FENRETINIDE_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	APRELIKOVA_BRCA1_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ASTIER_INTEGRIN_SIGNALING
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AUJLA_IL22_AND_IL17A_SIGNALING
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AUNG_GASTRIC_CANCER
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AZARE_STAT3_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAE_BRCA1_TARGETS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAE_BRCA1_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAELDE_DIABETIC_NEPHROPATHY_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAELDE_DIABETIC_NEPHROPATHY_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAFNA_MUC4_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAKER_HEMATOPOESIS_STAT1_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAKER_HEMATOPOESIS_STAT5_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAKER_HEMATOPOIESIS_STAT3_TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAKKER_FOXO3_TARGETS_DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BAKKER_FOXO3_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BALDWIN_PRKCI_TARGETS_UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
