GeneSet_Category	GeneSet_Sub_Category	GeneSet_Name
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.OXIDATIVE.PHOSPHORYLATION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.P53.PATHWAY
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.PANCREAS.BETA.CELLS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.PEROXISOME
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.PI3K.AKT.MTOR.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.PROTEIN.SECRETION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.SPERMATOGENESIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.TGF.BETA.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.TNFA.SIGNALING.VIA.NFKB
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.UNFOLDED.PROTEIN.RESPONSE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.UV.RESPONSE.DN
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.UV.RESPONSE.UP
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.WNT.BETA.CATENIN.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.XENOBIOTIC.METABOLISM
C1: Positional Gene Sets	Positional Gene Sets	chr10p12
C1: Positional Gene Sets	Positional Gene Sets	chr10p13
C1: Positional Gene Sets	Positional Gene Sets	chr10p14
C1: Positional Gene Sets	Positional Gene Sets	chr10p15
C1: Positional Gene Sets	Positional Gene Sets	chr10q11
C1: Positional Gene Sets	Positional Gene Sets	chr10q21
C1: Positional Gene Sets	Positional Gene Sets	chr10q22
C1: Positional Gene Sets	Positional Gene Sets	chr10q23
C1: Positional Gene Sets	Positional Gene Sets	chr10q24
C1: Positional Gene Sets	Positional Gene Sets	chr10q25
C1: Positional Gene Sets	Positional Gene Sets	chr10q26
C1: Positional Gene Sets	Positional Gene Sets	chr11p11
C1: Positional Gene Sets	Positional Gene Sets	chr11p12
C1: Positional Gene Sets	Positional Gene Sets	chr11p14
C1: Positional Gene Sets	Positional Gene Sets	chr11q12
C1: Positional Gene Sets	Positional Gene Sets	chr11q13
C1: Positional Gene Sets	Positional Gene Sets	chr11q14
C1: Positional Gene Sets	Positional Gene Sets	chr11q22
C1: Positional Gene Sets	Positional Gene Sets	chr11q23
C1: Positional Gene Sets	Positional Gene Sets	chr11q24
C1: Positional Gene Sets	Positional Gene Sets	chr11q25
C1: Positional Gene Sets	Positional Gene Sets	chr12p11
C1: Positional Gene Sets	Positional Gene Sets	chr12p12
C1: Positional Gene Sets	Positional Gene Sets	chr12p13
C1: Positional Gene Sets	Positional Gene Sets	chr12q12
C1: Positional Gene Sets	Positional Gene Sets	chr12q13
C1: Positional Gene Sets	Positional Gene Sets	chr12q14
C1: Positional Gene Sets	Positional Gene Sets	chr12q15
C1: Positional Gene Sets	Positional Gene Sets	chr12q21
C1: Positional Gene Sets	Positional Gene Sets	chr12q22
C1: Positional Gene Sets	Positional Gene Sets	chr12q23
C1: Positional Gene Sets	Positional Gene Sets	chr12q24
C1: Positional Gene Sets	Positional Gene Sets	chr13q11
C1: Positional Gene Sets	Positional Gene Sets	chr13q12
C1: Positional Gene Sets	Positional Gene Sets	chr13q13
C1: Positional Gene Sets	Positional Gene Sets	chr13q14
C1: Positional Gene Sets	Positional Gene Sets	chr13q22
C1: Positional Gene Sets	Positional Gene Sets	chr13q31
C1: Positional Gene Sets	Positional Gene Sets	chr13q32
C1: Positional Gene Sets	Positional Gene Sets	chr13q33
C1: Positional Gene Sets	Positional Gene Sets	chr14q11
C1: Positional Gene Sets	Positional Gene Sets	chr14q12
C1: Positional Gene Sets	Positional Gene Sets	chr14q13
C1: Positional Gene Sets	Positional Gene Sets	chr14q21
C1: Positional Gene Sets	Positional Gene Sets	chr14q22
C1: Positional Gene Sets	Positional Gene Sets	chr14q23
C1: Positional Gene Sets	Positional Gene Sets	chr14q24
C1: Positional Gene Sets	Positional Gene Sets	chr14q31
C1: Positional Gene Sets	Positional Gene Sets	chr14q32
C1: Positional Gene Sets	Positional Gene Sets	chr15q11
C1: Positional Gene Sets	Positional Gene Sets	chr15q12
C1: Positional Gene Sets	Positional Gene Sets	chr15q13
C1: Positional Gene Sets	Positional Gene Sets	chr15q14
C1: Positional Gene Sets	Positional Gene Sets	chr15q15
C1: Positional Gene Sets	Positional Gene Sets	chr15q21
C1: Positional Gene Sets	Positional Gene Sets	chr15q22
C1: Positional Gene Sets	Positional Gene Sets	chr15q23
C1: Positional Gene Sets	Positional Gene Sets	chr15q24
C1: Positional Gene Sets	Positional Gene Sets	chr15q25
C1: Positional Gene Sets	Positional Gene Sets	chr15q26
C1: Positional Gene Sets	Positional Gene Sets	chr16p11
C1: Positional Gene Sets	Positional Gene Sets	chr16p12
C1: Positional Gene Sets	Positional Gene Sets	chr16p13
C1: Positional Gene Sets	Positional Gene Sets	chr16q11
C1: Positional Gene Sets	Positional Gene Sets	chr16q12
C1: Positional Gene Sets	Positional Gene Sets	chr16q13
C1: Positional Gene Sets	Positional Gene Sets	chr16q21
C1: Positional Gene Sets	Positional Gene Sets	chr16q22
C1: Positional Gene Sets	Positional Gene Sets	chr16q23
C1: Positional Gene Sets	Positional Gene Sets	chr16q24
C1: Positional Gene Sets	Positional Gene Sets	chr17p11
C1: Positional Gene Sets	Positional Gene Sets	chr17p12
C1: Positional Gene Sets	Positional Gene Sets	chr17p13
C1: Positional Gene Sets	Positional Gene Sets	chr17q11
C1: Positional Gene Sets	Positional Gene Sets	chr17q12
C1: Positional Gene Sets	Positional Gene Sets	chr17q21
C1: Positional Gene Sets	Positional Gene Sets	chr17q22
C1: Positional Gene Sets	Positional Gene Sets	chr17q23
C1: Positional Gene Sets	Positional Gene Sets	chr17q24
C1: Positional Gene Sets	Positional Gene Sets	chr17q25
C1: Positional Gene Sets	Positional Gene Sets	chr18p11
C1: Positional Gene Sets	Positional Gene Sets	chr18q11
C1: Positional Gene Sets	Positional Gene Sets	chr18q12
C1: Positional Gene Sets	Positional Gene Sets	chr18q21
C1: Positional Gene Sets	Positional Gene Sets	chr18q22
C1: Positional Gene Sets	Positional Gene Sets	chr18q23
C1: Positional Gene Sets	Positional Gene Sets	chr19p12
C1: Positional Gene Sets	Positional Gene Sets	chr19p13
C1: Positional Gene Sets	Positional Gene Sets	chr19q13
C1: Positional Gene Sets	Positional Gene Sets	chr1p12
C1: Positional Gene Sets	Positional Gene Sets	chr1p13
C1: Positional Gene Sets	Positional Gene Sets	chr1p21
C1: Positional Gene Sets	Positional Gene Sets	chr1p22
C1: Positional Gene Sets	Positional Gene Sets	chr1p31
C1: Positional Gene Sets	Positional Gene Sets	chr1p32
C1: Positional Gene Sets	Positional Gene Sets	chr1p33
C1: Positional Gene Sets	Positional Gene Sets	chr1p34
C1: Positional Gene Sets	Positional Gene Sets	chr1p35
C1: Positional Gene Sets	Positional Gene Sets	chr1p36
C1: Positional Gene Sets	Positional Gene Sets	chr1q21
C1: Positional Gene Sets	Positional Gene Sets	chr1q22
C1: Positional Gene Sets	Positional Gene Sets	chr1q23
C1: Positional Gene Sets	Positional Gene Sets	chr1q24
C1: Positional Gene Sets	Positional Gene Sets	chr1q25
C1: Positional Gene Sets	Positional Gene Sets	chr1q31
C1: Positional Gene Sets	Positional Gene Sets	chr1q32
C1: Positional Gene Sets	Positional Gene Sets	chr1q41
C1: Positional Gene Sets	Positional Gene Sets	chr1q42
C1: Positional Gene Sets	Positional Gene Sets	chr1q43
C1: Positional Gene Sets	Positional Gene Sets	chr20p11
C1: Positional Gene Sets	Positional Gene Sets	chr20p12
C1: Positional Gene Sets	Positional Gene Sets	chr20p13
C1: Positional Gene Sets	Positional Gene Sets	chr20q11
C1: Positional Gene Sets	Positional Gene Sets	chr20q12
C1: Positional Gene Sets	Positional Gene Sets	chr20q13
C1: Positional Gene Sets	Positional Gene Sets	chr21p11
C1: Positional Gene Sets	Positional Gene Sets	chr21p12
C1: Positional Gene Sets	Positional Gene Sets	chr21q11
C1: Positional Gene Sets	Positional Gene Sets	chr21q21
C1: Positional Gene Sets	Positional Gene Sets	chr21q22
C1: Positional Gene Sets	Positional Gene Sets	chr22q11
C1: Positional Gene Sets	Positional Gene Sets	chr22q12
C1: Positional Gene Sets	Positional Gene Sets	chr22q13
C1: Positional Gene Sets	Positional Gene Sets	chr2p11
C1: Positional Gene Sets	Positional Gene Sets	chr2p12
C1: Positional Gene Sets	Positional Gene Sets	chr2p13
C1: Positional Gene Sets	Positional Gene Sets	chr2p14
C1: Positional Gene Sets	Positional Gene Sets	chr2p15
C1: Positional Gene Sets	Positional Gene Sets	chr2p16
C1: Positional Gene Sets	Positional Gene Sets	chr2p21
C1: Positional Gene Sets	Positional Gene Sets	chr2p22
C1: Positional Gene Sets	Positional Gene Sets	chr2p23
C1: Positional Gene Sets	Positional Gene Sets	chr2p24
C1: Positional Gene Sets	Positional Gene Sets	chr2p25
C1: Positional Gene Sets	Positional Gene Sets	chr2q11
C1: Positional Gene Sets	Positional Gene Sets	chr2q12
C1: Positional Gene Sets	Positional Gene Sets	chr2q13
C1: Positional Gene Sets	Positional Gene Sets	chr2q14
C1: Positional Gene Sets	Positional Gene Sets	chr2q21
C1: Positional Gene Sets	Positional Gene Sets	chr2q22
C1: Positional Gene Sets	Positional Gene Sets	chr2q23
C1: Positional Gene Sets	Positional Gene Sets	chr2q24
C1: Positional Gene Sets	Positional Gene Sets	chr2q31
C1: Positional Gene Sets	Positional Gene Sets	chr2q32
C1: Positional Gene Sets	Positional Gene Sets	chr2q33
C1: Positional Gene Sets	Positional Gene Sets	chr2q34
C1: Positional Gene Sets	Positional Gene Sets	chr2q35
C1: Positional Gene Sets	Positional Gene Sets	chr2q36
C1: Positional Gene Sets	Positional Gene Sets	chr3p11
C1: Positional Gene Sets	Positional Gene Sets	chr3p12
C1: Positional Gene Sets	Positional Gene Sets	chr3p13
C1: Positional Gene Sets	Positional Gene Sets	chr3p14
C1: Positional Gene Sets	Positional Gene Sets	chr3p21
C1: Positional Gene Sets	Positional Gene Sets	chr3p22
C1: Positional Gene Sets	Positional Gene Sets	chr3p23
C1: Positional Gene Sets	Positional Gene Sets	chr3p24
C1: Positional Gene Sets	Positional Gene Sets	chr3p25
C1: Positional Gene Sets	Positional Gene Sets	chr3p26
C1: Positional Gene Sets	Positional Gene Sets	chr3q11
C1: Positional Gene Sets	Positional Gene Sets	chr3q12
C1: Positional Gene Sets	Positional Gene Sets	chr3q13
C1: Positional Gene Sets	Positional Gene Sets	chr3q21
C1: Positional Gene Sets	Positional Gene Sets	chr3q22
C1: Positional Gene Sets	Positional Gene Sets	chr3q23
C1: Positional Gene Sets	Positional Gene Sets	chr3q25
C1: Positional Gene Sets	Positional Gene Sets	chr3q26
C1: Positional Gene Sets	Positional Gene Sets	chr3q27
C1: Positional Gene Sets	Positional Gene Sets	chr3q28
C1: Positional Gene Sets	Positional Gene Sets	chr3q29
C1: Positional Gene Sets	Positional Gene Sets	chr4p11
C1: Positional Gene Sets	Positional Gene Sets	chr4p12
C1: Positional Gene Sets	Positional Gene Sets	chr4p13
C1: Positional Gene Sets	Positional Gene Sets	chr4p14
C1: Positional Gene Sets	Positional Gene Sets	chr4p15
C1: Positional Gene Sets	Positional Gene Sets	chr4p16
C1: Positional Gene Sets	Positional Gene Sets	chr4q12
C1: Positional Gene Sets	Positional Gene Sets	chr4q22
C1: Positional Gene Sets	Positional Gene Sets	chr4q24
C1: Positional Gene Sets	Positional Gene Sets	chr4q25
C1: Positional Gene Sets	Positional Gene Sets	chr4q26
C1: Positional Gene Sets	Positional Gene Sets	chr4q27
C1: Positional Gene Sets	Positional Gene Sets	chr4q31
C1: Positional Gene Sets	Positional Gene Sets	chr4q32
C1: Positional Gene Sets	Positional Gene Sets	chr4q33
C1: Positional Gene Sets	Positional Gene Sets	chr4q35
C1: Positional Gene Sets	Positional Gene Sets	chr5p12
C1: Positional Gene Sets	Positional Gene Sets	chr5p13
C1: Positional Gene Sets	Positional Gene Sets	chr5p14
C1: Positional Gene Sets	Positional Gene Sets	chr5p15
C1: Positional Gene Sets	Positional Gene Sets	chr5q11
C1: Positional Gene Sets	Positional Gene Sets	chr5q12
C1: Positional Gene Sets	Positional Gene Sets	chr5q13
C1: Positional Gene Sets	Positional Gene Sets	chr5q14
C1: Positional Gene Sets	Positional Gene Sets	chr5q15
C1: Positional Gene Sets	Positional Gene Sets	chr5q21
C1: Positional Gene Sets	Positional Gene Sets	chr5q22
C1: Positional Gene Sets	Positional Gene Sets	chr5q23
C1: Positional Gene Sets	Positional Gene Sets	chr5q31
C1: Positional Gene Sets	Positional Gene Sets	chr5q33
C1: Positional Gene Sets	Positional Gene Sets	chr5q34
C1: Positional Gene Sets	Positional Gene Sets	chr5q35
C1: Positional Gene Sets	Positional Gene Sets	chr6p11
C1: Positional Gene Sets	Positional Gene Sets	chr6p21
C1: Positional Gene Sets	Positional Gene Sets	chr6p22
C1: Positional Gene Sets	Positional Gene Sets	chr6p23
C1: Positional Gene Sets	Positional Gene Sets	chr6p24
C1: Positional Gene Sets	Positional Gene Sets	chr6p25
C1: Positional Gene Sets	Positional Gene Sets	chr6q11
C1: Positional Gene Sets	Positional Gene Sets	chr6q12
C1: Positional Gene Sets	Positional Gene Sets	chr6q13
C1: Positional Gene Sets	Positional Gene Sets	chr6q14
C1: Positional Gene Sets	Positional Gene Sets	chr6q15
C1: Positional Gene Sets	Positional Gene Sets	chr6q16
C1: Positional Gene Sets	Positional Gene Sets	chr6q21
C1: Positional Gene Sets	Positional Gene Sets	chr6q22
C1: Positional Gene Sets	Positional Gene Sets	chr6q23
C1: Positional Gene Sets	Positional Gene Sets	chr6q24
C1: Positional Gene Sets	Positional Gene Sets	chr6q25
C1: Positional Gene Sets	Positional Gene Sets	chr6q26
C1: Positional Gene Sets	Positional Gene Sets	chr6q27
C1: Positional Gene Sets	Positional Gene Sets	chr7p11
C1: Positional Gene Sets	Positional Gene Sets	chr7p12
C1: Positional Gene Sets	Positional Gene Sets	chr7p13
C1: Positional Gene Sets	Positional Gene Sets	chr7p14
C1: Positional Gene Sets	Positional Gene Sets	chr7p15
C1: Positional Gene Sets	Positional Gene Sets	chr7p21
C1: Positional Gene Sets	Positional Gene Sets	chr7p22
C1: Positional Gene Sets	Positional Gene Sets	chr7q11
C1: Positional Gene Sets	Positional Gene Sets	chr7q21
C1: Positional Gene Sets	Positional Gene Sets	chr7q22
C1: Positional Gene Sets	Positional Gene Sets	chr7q31
C1: Positional Gene Sets	Positional Gene Sets	chr7q32
C1: Positional Gene Sets	Positional Gene Sets	chr7q33
C1: Positional Gene Sets	Positional Gene Sets	chr7q34
C1: Positional Gene Sets	Positional Gene Sets	chr7q35
C1: Positional Gene Sets	Positional Gene Sets	chr7q36
C1: Positional Gene Sets	Positional Gene Sets	chr8p11
C1: Positional Gene Sets	Positional Gene Sets	chr8p12
C1: Positional Gene Sets	Positional Gene Sets	chr8p21
C1: Positional Gene Sets	Positional Gene Sets	chr8p22
C1: Positional Gene Sets	Positional Gene Sets	chr8p23
C1: Positional Gene Sets	Positional Gene Sets	chr8q11
C1: Positional Gene Sets	Positional Gene Sets	chr8q12
C1: Positional Gene Sets	Positional Gene Sets	chr8q13
C1: Positional Gene Sets	Positional Gene Sets	chr8q21
C1: Positional Gene Sets	Positional Gene Sets	chr8q22
C1: Positional Gene Sets	Positional Gene Sets	chr8q23
C1: Positional Gene Sets	Positional Gene Sets	chr8q24
C1: Positional Gene Sets	Positional Gene Sets	chr9p11
C1: Positional Gene Sets	Positional Gene Sets	chr9p12
C1: Positional Gene Sets	Positional Gene Sets	chr9p13
C1: Positional Gene Sets	Positional Gene Sets	chr9p23
C1: Positional Gene Sets	Positional Gene Sets	chr9p24
C1: Positional Gene Sets	Positional Gene Sets	chr9q12
C1: Positional Gene Sets	Positional Gene Sets	chr9q13
C1: Positional Gene Sets	Positional Gene Sets	chr9q21
C1: Positional Gene Sets	Positional Gene Sets	chr9q22
C1: Positional Gene Sets	Positional Gene Sets	chr9q31
C1: Positional Gene Sets	Positional Gene Sets	chr9q32
C1: Positional Gene Sets	Positional Gene Sets	chr9q33
C1: Positional Gene Sets	Positional Gene Sets	chr9q34
C1: Positional Gene Sets	Positional Gene Sets	chrXp11
C1: Positional Gene Sets	Positional Gene Sets	chrXp21
C1: Positional Gene Sets	Positional Gene Sets	chrXp22
C1: Positional Gene Sets	Positional Gene Sets	chrXq11
C1: Positional Gene Sets	Positional Gene Sets	chrXq12
C1: Positional Gene Sets	Positional Gene Sets	chrXq13
C1: Positional Gene Sets	Positional Gene Sets	chrXq21
C1: Positional Gene Sets	Positional Gene Sets	chrXq22
C1: Positional Gene Sets	Positional Gene Sets	chrXq23
C1: Positional Gene Sets	Positional Gene Sets	chrXq24
C1: Positional Gene Sets	Positional Gene Sets	chrXq25
C1: Positional Gene Sets	Positional Gene Sets	chrXq26
C1: Positional Gene Sets	Positional Gene Sets	chrXq27
C1: Positional Gene Sets	Positional Gene Sets	chrXq28
C1: Positional Gene Sets	Positional Gene Sets	chrYp11
C1: Positional Gene Sets	Positional Gene Sets	chrYq11
C1: Positional Gene Sets	Positional Gene Sets	MT
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD.LIF.SIGNALING.1.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD.LIF.SIGNALING.1.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD.LIF.SIGNALING.2.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABBUD.LIF.SIGNALING.2.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABDELMOHSEN.ELAVL4.TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABDULRAHMAN.KIDNEY.CANCER.VHL.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE.INNER.EAR
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE.VEGFA.TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE.VEGFA.TARGETS.2HR
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABE.VEGFA.TARGETS.30MIN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAHAM.ALPC.VS.MULTIPLE.MYELOMA.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAHAM.ALPC.VS.MULTIPLE.MYELOMA.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ABRAMSON.INTERACT.WITH.AIRE
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.WITH.H3K27ME3.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.WITH.H3K27ME3.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.WITH.H3K9ME3.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.CANCER.WITH.H3K9ME3.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.TUMOR.VS.NORMAL.ADJACENT.TISSUE.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.LIVER.TUMOR.VS.NORMAL.ADJACENT.TISSUE.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.METHYLATED.IN.LIVER.CANCER.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.NORMAL.TISSUE.ADJACENT.TO.LIVER.TUMOR.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACEVEDO.NORMAL.TISSUE.ADJACENT.TO.LIVER.TUMOR.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACOSTA.PROLIFERATION.INDEPENDENT.MYC.TARGETS.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ACOSTA.PROLIFERATION.INDEPENDENT.MYC.TARGETS.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ADDYA.ERYTHROID.DIFFERENTIATION.BY.HEMIN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AFFAR.YY1.TARGETS.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AFFAR.YY1.TARGETS.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGARWAL.AKT.PATHWAY.TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGUIRRE.PANCREATIC.CANCER.COPY.NUMBER.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AGUIRRE.PANCREATIC.CANCER.COPY.NUMBER.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIGNER.ZEB1.TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIYAR.COBRA1.TARGETS.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AIYAR.COBRA1.TARGETS.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AKL.HTLV1.INFECTION.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AKL.HTLV1.INFECTION.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALA.APOPTOSIS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALAY.AML.BY.NPM1.LOCALIZATION.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALCALAY.AML.BY.NPM1.LOCALIZATION.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALFANO.MYC.TARGETS
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO.METASTASIS.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO.METASTASIS.EMT.DN
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO.METASTASIS.EMT.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO.METASTASIS.NEURAL.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALONSO.METASTASIS.UP
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	ALTEMEIER.RESPONSE.TO.LPS.WITH.MECHANICAL.VENTILATION
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMBROSINI.FLAVOPIRIDOL.TREATMENT.TP53
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.DELAYED.EARLY.GENES
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.120.HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.120.MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.20.HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.20.MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.240.HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.240.MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.40.HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.40.MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.480.HELA
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.480.MCF10A
C2: Curated Gene Sets	CPG: Chemical and Genetic Perturbations	AMIT.EGF.RESPONSE.60.HELA
