gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	diff_pct
ARL17B	3.22864823495196e-26	0.423256805987633	0.2	0.001	9.00760571069248e-22	B cells	0.199
SIX3	3.22864823495196e-26	0.422651184261358	0.2	0.001	9.00760571069248e-22	B cells	0.199
OSBPL10	3.22864823495196e-26	0.422359190148518	0.2	0.001	9.00760571069248e-22	B cells	0.199
EXD1	3.22864823495196e-26	0.422170021059333	0.2	0.001	9.00760571069248e-22	B cells	0.199
LOC148709	3.22864823495196e-26	0.422148172681649	0.2	0.001	9.00760571069248e-22	B cells	0.199
GUSBP3	3.94687915260669e-26	0.421969135577279	0.2	0.001	1.10113981478574e-21	B cells	0.199
LOC101929140	3.94687915260669e-26	0.3763474802881	0.2	0.001	1.10113981478574e-21	B cells	0.199
CRIM1	6.87622282106571e-26	0.883925140112786	0.4	0.005	1.91839740484912e-21	B cells	0.395
RASA3	3.35230252773824e-19	0.75229345668121	0.4	0.008	9.3525888221369e-15	B cells	0.392
LGMN	6.59039590256196e-18	0.54436148357998	0.2	0.002	1.83865455285576e-13	B cells	0.198
FANK1	6.59039590256196e-18	0.542714603560064	0.2	0.002	1.83865455285576e-13	B cells	0.198
IMPA1P1	6.59039590256196e-18	0.496726076289338	0.2	0.002	1.83865455285576e-13	B cells	0.198
REREP3	6.59039590256196e-18	0.487582256376965	0.2	0.002	1.83865455285576e-13	B cells	0.198
PCNAP1	7.53636412390484e-18	0.486867405867058	0.2	0.002	2.10257022692821e-13	B cells	0.198
LINC01801	7.53636412390484e-18	0.420385556096233	0.2	0.002	2.10257022692821e-13	B cells	0.198
KCNK12	8.61610430613073e-18	0.37387780296597	0.2	0.002	2.40380694036741e-13	B cells	0.198
SLC26A8	8.61610430613073e-18	0.37289427986776	0.2	0.002	2.40380694036741e-13	B cells	0.198
ZNF778	9.81516339059046e-14	0.504372538522386	0.2	0.003	2.73833243434083e-09	B cells	0.197
ICAM5	9.81516339059046e-14	0.484116860248481	0.2	0.003	2.73833243434083e-09	B cells	0.197
ZNF114	1.08556200955716e-13	0.50371798297332	0.2	0.003	3.02860945046353e-09	B cells	0.197
GOLGA8O	1.08556200955716e-13	0.483694964083573	0.2	0.003	3.02860945046353e-09	B cells	0.197
RAPGEF4	1.08556200955716e-13	0.418452924489781	0.2	0.003	3.02860945046353e-09	B cells	0.197
LRRTM2	1.20042767728013e-13	0.417719418940425	0.2	0.003	3.34907317684382e-09	B cells	0.197
BAMBI	1.20042767728013e-13	0.417676246691085	0.2	0.003	3.34907317684382e-09	B cells	0.197
C6orf163	1.20042767728013e-13	0.417392759338954	0.2	0.003	3.34907317684382e-09	B cells	0.197
LINC00115	1.20042767728013e-13	0.416873536472644	0.2	0.003	3.34907317684382e-09	B cells	0.197
LINC01588	1.32721606211113e-13	0.417322797940263	0.2	0.003	3.70280009168384e-09	B cells	0.197
PRRT2	1.32721606211113e-13	0.416193994010223	0.2	0.003	3.70280009168384e-09	B cells	0.197
BORCS5	2.15199390029514e-13	0.755075670809419	0.4	0.012	6.0038477824334e-09	B cells	0.388
ERAL1	1.86787703117446e-11	0.764208002517158	0.4	0.015	5.21119012927363e-07	B cells	0.385
UCA1	3.20884205014579e-11	0.604830811436821	0.2	0.004	8.95234843570173e-07	B cells	0.196
BHLHE41	3.47862839428478e-11	0.482791872513599	0.2	0.004	9.70502535721512e-07	B cells	0.196
CDC37L1-AS1	3.77057272663152e-11	0.370816824353228	0.2	0.004	1.05195208500293e-06	B cells	0.196
LOC105377623	4.08645007168128e-11	0.370255563879842	0.2	0.004	1.14007870549836e-06	B cells	0.196
C19orf66	6.41012933106129e-11	0.751036411587066	0.4	0.016	1.78836198207279e-06	B cells	0.384
INPPL1	1.90853511289912e-10	0.990895904013575	0.6	0.038	5.32462211147726e-06	B cells	0.562
UNC5A	1.54768481724201e-09	0.623605962390265	0.2	0.004	4.31788587162349e-05	B cells	0.196
ZSCAN22	1.6555519062105e-09	0.50135339476322	0.2	0.004	4.61882426313667e-05	B cells	0.196
APOBEC3A	1.6555519062105e-09	0.499325972543206	0.2	0.004	4.61882426313667e-05	B cells	0.196
B3GALT2	1.6555519062105e-09	0.480207423362398	0.2	0.004	4.61882426313667e-05	B cells	0.196
HSD17B1	1.6555519062105e-09	0.47999203647934	0.2	0.004	4.61882426313667e-05	B cells	0.196
CROCC2	1.77073217881034e-09	0.479123340756704	0.2	0.004	4.94016570566297e-05	B cells	0.196
THSD7A	1.77073217881034e-09	0.413254293953345	0.2	0.004	4.94016570566297e-05	B cells	0.196
PLXNC1	1.89370689279776e-09	0.497965590465416	0.2	0.004	5.28325286021647e-05	B cells	0.196
ZNF142	1.89370689279776e-09	0.369489286304339	0.2	0.004	5.28325286021647e-05	B cells	0.196
SREBF1	2.02498796523497e-09	0.367153425598951	0.2	0.004	5.64951392420905e-05	B cells	0.196
HIST1H2AK	2.29896322022224e-09	0.850902731198017	0.4	0.019	6.41387748809802e-05	B cells	0.381
TMEM44-AS1	2.64340995480773e-08	0.497653377981287	0.2	0.005	0.00073748494329181	B cells	0.195
SOCS2-AS1	2.64340995480773e-08	0.47997608609099	0.2	0.005	0.00073748494329181	B cells	0.195
CDKN1C	2.68754677953559e-08	0.843509023075395	0.4	0.022	0.000749798676022633	B cells	0.378
SAMD13	2.80051890092574e-08	0.477321876907351	0.2	0.005	0.000781316768169271	B cells	0.195
LINC01560	2.96667236905044e-08	0.412009642650548	0.2	0.005	0.000827671924241381	B cells	0.195
GPR34	3.14237318932652e-08	0.494834073454873	0.2	0.005	0.000876690696090207	B cells	0.195
AP1M1	1.67115540862413e-07	0.906199571649677	0.4	0.026	0.00466235647452047	B cells	0.374
TFE3	2.02433921369661e-07	0.556891105880186	0.2	0.006	0.00564770397229216	B cells	0.194
LOC100270804	2.12956973268941e-07	0.513219406905171	0.2	0.006	0.0059412865972302	B cells	0.194
ANXA8	2.12956973268941e-07	0.475985504161279	0.2	0.006	0.0059412865972302	B cells	0.194
PDE11A	2.47795217949027e-07	0.409168836854726	0.2	0.006	0.0069132387855599	B cells	0.194
HIST1H2AL	2.95501663331554e-07	0.82830859921072	0.4	0.027	0.00824420090528702	B cells	0.373
ZNF619	1.03833082313272e-06	0.511407627354488	0.2	0.007	0.0289683916345798	B cells	0.193
PLA2G6	1.03833082313272e-06	0.478573473597717	0.2	0.007	0.0289683916345798	B cells	0.193
SEPT5	1.08624070016892e-06	0.511403246696028	0.2	0.007	0.0303050292940128	B cells	0.193
LOC100505658	1.08624070016892e-06	0.494773482063218	0.2	0.007	0.0303050292940128	B cells	0.193
NAPB	1.08624070016892e-06	0.473514647848553	0.2	0.007	0.0303050292940128	B cells	0.193
ZNF417	1.13627432539764e-06	0.509917633330769	0.2	0.007	0.0317009174042688	B cells	0.193
LCN10	1.13627432539764e-06	0.508760618055594	0.2	0.007	0.0317009174042688	B cells	0.193
ZNF382	1.18852170480517e-06	0.491727851470419	0.2	0.007	0.0331585670423594	B cells	0.193
CASP7	1.18852170480517e-06	0.408290405039754	0.2	0.007	0.0331585670423594	B cells	0.193
CPT1B	1.18852170480517e-06	0.406699467041426	0.2	0.007	0.0331585670423594	B cells	0.193
LOC100506127	1.24307646855144e-06	0.472318158677931	0.2	0.007	0.0346805903961166	B cells	0.193
WDR19	1.24307646855144e-06	0.40713519244042	0.2	0.007	0.0346805903961166	B cells	0.193
ZNF470	1.24307646855144e-06	0.363749065770156	0.2	0.007	0.0346805903961166	B cells	0.193
CAHM	1.24307646855144e-06	0.362745519015021	0.2	0.007	0.0346805903961166	B cells	0.193
SPG7	1.24670203851528e-06	0.647967771729633	0.4	0.028	0.0347817401725379	B cells	0.372
ZBED5	2.28358647720744e-06	1.03986236256707	0.6	0.071	0.0637097791276104	B cells	0.529
CCDC122	3.86064682508483e-06	0.474997949758103	0.2	0.008	0.107708185773042	B cells	0.192
THAP9	4.0208254330615e-06	0.591623508592443	0.2	0.008	0.112177008756983	B cells	0.192
JMJD4	4.0208254330615e-06	0.507239464198771	0.2	0.008	0.112177008756983	B cells	0.192
CCDC121	4.18736245483273e-06	0.472352455147654	0.2	0.008	0.116823225127378	B cells	0.192
DCAF15	4.36049794807847e-06	0.407074710672555	0.2	0.008	0.121653532253441	B cells	0.192
ZNF665	4.54048052245195e-06	0.405417082247821	0.2	0.008	0.126674866095887	B cells	0.192
CAPS	4.72756762388121e-06	0.403265326325465	0.2	0.008	0.131894409138662	B cells	0.192
RNF26	4.72756762388121e-06	0.361230885836042	0.2	0.008	0.131894409138662	B cells	0.192
LOXHD1	4.72756762388121e-06	0.360413957890418	0.2	0.008	0.131894409138662	B cells	0.192
MIR632	4.92202582754439e-06	0.36088128993729	0.2	0.008	0.137319598562661	B cells	0.192
ANKRD13A	8.94315696602843e-06	0.859592426268116	0.6	0.074	0.249505136195227	B cells	0.526
HOMER3	9.04363275044539e-06	0.688500842147867	0.4	0.034	0.252308310104676	B cells	0.366
ZNF862	1.13539417611931e-05	0.491534293909451	0.2	0.009	0.316763621195526	B cells	0.191
GSK3A	1.22253766639595e-05	0.472525966810612	0.2	0.009	0.341075783547806	B cells	0.191
BRPF3	1.22253766639595e-05	0.471313260117865	0.2	0.009	0.341075783547806	B cells	0.191
ZNF189	1.26846794144227e-05	0.471572280280284	0.2	0.009	0.35388987098298	B cells	0.191
ZNF175	1.26846794144227e-05	0.469759002276215	0.2	0.009	0.35388987098298	B cells	0.191
TPPP	1.31604189893239e-05	0.465837689429698	0.2	0.009	0.367162529383147	B cells	0.191
ARMCX5-GPRASP2	1.36531516386564e-05	0.403249564729852	0.2	0.009	0.380909277566876	B cells	0.191
FANCG	1.4163451237185e-05	0.358258306440891	0.2	0.009	0.395146126066224	B cells	0.191
SPACA6	1.46919097997234e-05	0.357757872436299	0.2	0.009	0.409889591502482	B cells	0.191
PWAR6	1.46919097997234e-05	0.356188134915367	0.2	0.009	0.409889591502482	B cells	0.191
SEMA3F-AS1	1.46919097997234e-05	0.354974725610095	0.2	0.009	0.409889591502482	B cells	0.191
C6orf201	1.52391380099932e-05	0.355734199999166	0.2	0.009	0.4251567113408	B cells	0.191
NMRAL1	2.66447006875823e-05	0.734643555560894	0.4	0.038	0.743360504482859	B cells	0.362
LOC100506691	2.79957782457133e-05	0.507368878027267	0.2	0.01	0.781054217277154	B cells	0.19
KCNMB3	2.79957782457133e-05	0.504845952807763	0.2	0.01	0.781054217277154	B cells	0.19
DECR2	2.89630001440552e-05	0.503629479095244	0.2	0.01	0.808038741018997	B cells	0.19
IFT122	2.89630001440552e-05	0.471414055484951	0.2	0.01	0.808038741018997	B cells	0.19
C5orf34	2.99619327989348e-05	0.607463769944576	0.2	0.01	0.835907963157481	B cells	0.19
DUSP5	2.99619327989348e-05	0.487265490679486	0.2	0.01	0.835907963157481	B cells	0.19
SPC24	3.09935544570235e-05	0.46868752285196	0.2	0.01	0.864689175796498	B cells	0.19
URGCP	3.205887142227e-05	0.401171394867905	0.2	0.01	0.89441045380991	B cells	0.19
GATD1	3.31977783442501e-05	0.718155567753923	0.4	0.039	0.926184818026234	B cells	0.361
FAM212B	3.42947612014648e-05	0.40098946218851	0.2	0.01	0.956789542759666	B cells	0.19
LOC401261	3.42947612014648e-05	0.354733485433416	0.2	0.01	0.956789542759666	B cells	0.19
ZFP64	3.54674936072019e-05	0.353584372231888	0.2	0.01	0.989507604147327	B cells	0.19
LRRC8C	4.21647133229473e-05	0.623941393184795	0.4	0.038	1	B cells	0.362
DGKG	4.23954090122485e-05	0.774471218481697	0.4	0.041	1	B cells	0.359
CHSY1	4.8601356516687e-05	0.693371632746934	0.4	0.04	1	B cells	0.36
SHKBP1	6.04504528814945e-05	0.804619342613304	0.4	0.042	1	B cells	0.358
EEPD1	6.21827408518311e-05	0.604864986305377	0.2	0.011	1	B cells	0.189
ZNF782	6.21827408518311e-05	0.519170065363909	0.2	0.011	1	B cells	0.189
YIPF2	6.21827408518311e-05	0.501648319903425	0.2	0.011	1	B cells	0.189
SNORD63	6.41623870839985e-05	0.498727682115193	0.2	0.011	1	B cells	0.189
ADAP1	6.51743728165355e-05	0.502773971703449	0.2	0.011	1	B cells	0.189
TMEM39B	6.62015868341655e-05	0.498499703714166	0.2	0.011	1	B cells	0.189
ARHGEF10L	6.83020161408616e-05	0.481803306289901	0.2	0.011	1	B cells	0.189
MIR5087	6.83020161408616e-05	0.356872822434132	0.2	0.011	1	B cells	0.189
THBS1	7.22465822017174e-05	0.956585001411092	0.4	0.042	1	B cells	0.358
ENKD1	7.49881002609523e-05	0.397624650866875	0.2	0.011	1	B cells	0.189
ZNF672	7.49881002609523e-05	0.354169078651883	0.2	0.011	1	B cells	0.189
ZNF785	7.49881002609523e-05	0.352589786291083	0.2	0.011	1	B cells	0.189
ZZEF1	7.53422755345256e-05	0.7166083131423	0.4	0.042	1	B cells	0.358
TMEM198B	8.22898804477134e-05	0.350460238891374	0.2	0.011	1	B cells	0.189
MIDN	8.78543064524682e-05	0.874223600844671	0.4	0.043	1	B cells	0.357
KMT5A	9.07668545224738e-05	0.797016341108649	0.4	0.044	1	B cells	0.356
DLGAP4	9.75306477766431e-05	0.617804968086232	0.4	0.042	1	B cells	0.358
LRRC23	0.000116553170502258	0.606341775642505	0.2	0.011	1	B cells	0.189
LOC100507006	0.000123552994450704	0.496831777163046	0.2	0.011	1	B cells	0.189
EZR	0.000128569902570121	1.12235164594965	0.8	0.211	1	B cells	0.589
OLIG2	0.000138758166645273	0.395159303013871	0.2	0.011	1	B cells	0.189
PPOX	0.000142825963844939	0.397939399354231	0.2	0.011	1	B cells	0.189
SPIN2B	0.000142825963844939	0.350645273066003	0.2	0.011	1	B cells	0.189
PHTF2	0.000191067350975143	0.779734557516631	0.4	0.049	1	B cells	0.351
CDC42BPB	0.000204364183271807	0.703806968525182	0.4	0.047	1	B cells	0.353
PPP1R16A	0.000212624478498383	0.581764023212579	0.2	0.012	1	B cells	0.188
ZNF624	0.000212624478498383	0.462514798802936	0.2	0.012	1	B cells	0.188
BCAS2	0.000225621923835744	0.805675606675978	0.6	0.103	1	B cells	0.497
SRXN1	0.00023068975945833	0.46258414137863	0.2	0.012	1	B cells	0.188
LOC101929709	0.000237024944647864	0.460888449709247	0.2	0.012	1	B cells	0.188
PAPOLB	0.000237024944647864	0.353565484945288	0.2	0.012	1	B cells	0.188
BRE-AS1	0.000237024944647864	0.352559746797735	0.2	0.012	1	B cells	0.188
AFAP1L1	0.000243523095853981	0.396018001540374	0.2	0.012	1	B cells	0.188
NFATC2	0.000243523095853981	0.395411951385083	0.2	0.012	1	B cells	0.188
TNFRSF4	0.000243523095853981	0.39226103862672	0.2	0.012	1	B cells	0.188
HOPX	0.000248194128743271	0.99420388777501	0.6	0.114	1	B cells	0.486
PDLIM7	0.000257023875339745	0.393326408700404	0.2	0.012	1	B cells	0.188
PEX16	0.000257023875339745	0.349561559676835	0.2	0.012	1	B cells	0.188
COA7	0.000264034503015484	0.348937798521721	0.2	0.012	1	B cells	0.188
ANPEP	0.00029132692348458	0.713785444152527	0.4	0.05	1	B cells	0.35
NFATC1	0.000342523777691731	0.582859936204977	0.2	0.013	1	B cells	0.187
ELMO1	0.000359647889782673	0.933500355535009	0.6	0.116	1	B cells	0.484
FN3KRP	0.000360501204092806	0.480108579933872	0.2	0.013	1	B cells	0.187
MTF2	0.0003608947169659	0.892211676678339	0.6	0.114	1	B cells	0.486
LOC101928834	0.000369817111489384	0.493115054426728	0.2	0.013	1	B cells	0.187
FMNL3	0.000369817111489384	0.479448091471096	0.2	0.013	1	B cells	0.187
LRP4	0.000369817111489384	0.459549813099774	0.2	0.013	1	B cells	0.187
BMP1	0.000389127966924097	0.394817727564142	0.2	0.013	1	B cells	0.187
CRACR2B	0.000419868069562902	0.390698551847755	0.2	0.013	1	B cells	0.187
WWP2	0.000535290592719625	0.590323488403489	0.2	0.014	1	B cells	0.186
DLEU1	0.000535290592719625	0.497313181197543	0.2	0.014	1	B cells	0.186
PGAP2	0.000575390955949735	0.49251947853993	0.2	0.014	1	B cells	0.186
ATP6V0C	0.000576113036365829	0.701394517758185	0.4	0.054	1	B cells	0.346
GPSM2	0.000587152994916258	0.60187391294108	0.4	0.053	1	B cells	0.347
ZDHHC8	0.000589367680688816	0.455353457122297	0.2	0.014	1	B cells	0.186
PAQR3	0.000589367680688816	0.393285008724995	0.2	0.014	1	B cells	0.186
PDK1	0.000657072744864435	0.676884289060653	0.4	0.055	1	B cells	0.345
MPST	0.000658130932766545	0.644026700286264	0.4	0.054	1	B cells	0.346
HNRNPLL	0.00066411603003098	0.388766519802964	0.2	0.014	1	B cells	0.186
PPRC1	0.00068008587808975	0.385898175409415	0.2	0.014	1	B cells	0.186
PTGIR	0.00068008587808975	0.344461240709489	0.2	0.014	1	B cells	0.186
MITD1	0.000730631518065295	0.788858961052211	0.6	0.116	1	B cells	0.484
PI4KAP2	0.000766477590138188	0.691366331911048	0.4	0.057	1	B cells	0.343
DEDD	0.000797245910997946	0.59977685732275	0.2	0.015	1	B cells	0.185
SVBP	0.000820043998080749	0.709689137431154	0.4	0.057	1	B cells	0.343
RNU4-2	0.000834660541804694	0.673587035550778	0.4	0.057	1	B cells	0.343
PP7080	0.000853603221869261	0.493851730090151	0.2	0.015	1	B cells	0.185
MAN2A1	0.000884696614656835	0.634408413753771	0.4	0.055	1	B cells	0.345
PARGP1	0.000893203741705907	0.455462649143774	0.2	0.015	1	B cells	0.185
RFWD2	0.000911354747223302	0.800155597945578	0.4	0.059	1	B cells	0.341
NUP153	0.000952051469071096	0.585591050650904	0.4	0.055	1	B cells	0.345
EEFSEC	0.000977562179817943	0.344863087287974	0.2	0.015	1	B cells	0.185
CYSTM1	0.00104560859795893	0.343482237963984	0.2	0.015	1	B cells	0.185
TECPR2	0.001069247500044	0.383305830548988	0.2	0.015	1	B cells	0.185
METAP1D	0.00114015085803704	0.61443441852437	0.2	0.016	1	B cells	0.184
GORASP2	0.00114306672640512	0.821443344411825	0.4	0.062	1	B cells	0.338
SIAH1	0.00119051063932884	0.476489262338272	0.2	0.016	1	B cells	0.184
C1orf174	0.00120644849851608	0.653357407415447	0.4	0.059	1	B cells	0.341
TNFAIP8L1	0.0012429186570215	0.471357817204177	0.2	0.016	1	B cells	0.184
AKAP10	0.00126509431572854	0.692069015189506	0.4	0.06	1	B cells	0.34
ACAD9	0.00129744996608321	0.452819185071499	0.2	0.016	1	B cells	0.184
HS6ST1	0.00129744996608321	0.388658337170793	0.2	0.016	1	B cells	0.184
CKB	0.00135418200684603	0.386142856147316	0.2	0.016	1	B cells	0.184
VAMP7	0.00135906342423874	0.894261473769552	0.4	0.065	1	B cells	0.335
STARD9	0.00138339816886073	0.386528854052864	0.2	0.016	1	B cells	0.184
PSMA7	0.00142877598346896	0.864431889387388	1	0.398	1	B cells	0.602
HAT1	0.00145524013660541	0.839873697853913	0.6	0.129	1	B cells	0.471
PPP1CA	0.00147946636085778	0.760633417499134	0.6	0.127	1	B cells	0.473
SLC2A3	0.00148776259245005	0.742246535857479	0.6	0.122	1	B cells	0.478
REXO5	0.00164121498242254	0.487786824834428	0.2	0.017	1	B cells	0.183
SLC43A2	0.00164121498242254	0.485641019510893	0.2	0.017	1	B cells	0.183
CCNA1	0.00167521037516927	0.505636785177636	0.2	0.017	1	B cells	0.183
ZNF44	0.00167521037516927	0.48621621415082	0.2	0.017	1	B cells	0.183
REEP4	0.00174515242641529	0.453546569580394	0.2	0.017	1	B cells	0.183
RANBP10	0.00181777053834149	0.450290389852896	0.2	0.017	1	B cells	0.183
PDE8A	0.00181777053834149	0.385658460684753	0.2	0.017	1	B cells	0.183
LOC391322	0.00185511162046722	0.342952735005048	0.2	0.017	1	B cells	0.183
NPIPB13	0.00189315625428132	0.341825159471379	0.2	0.017	1	B cells	0.183
AGAP3	0.00193191630152167	0.383674867727676	0.2	0.017	1	B cells	0.183
ZNF432	0.00197140379503832	0.381493755177261	0.2	0.017	1	B cells	0.183
ZNF266	0.00215418533737232	0.6015062707569	0.2	0.018	1	B cells	0.182
DHRS7B	0.00215418533737232	0.486749556082839	0.2	0.018	1	B cells	0.182
DRG1	0.0021809480924922	0.683880327318746	0.4	0.065	1	B cells	0.335
GSKIP	0.00224013713401123	0.467923096039438	0.2	0.018	1	B cells	0.182
COPRS	0.00228428126222295	0.445665298698335	0.2	0.018	1	B cells	0.182
NCEH1	0.00232922094971911	0.502858679254985	0.2	0.018	1	B cells	0.182
XPO6	0.00232922094971911	0.472170198723245	0.2	0.018	1	B cells	0.182
CREM	0.00237496896555594	0.46478084025632	0.2	0.018	1	B cells	0.182
RNF44	0.00242719583020751	0.683141028253357	0.4	0.067	1	B cells	0.333
SACS	0.00244661147395887	0.79900174225971	0.4	0.068	1	B cells	0.332
MTERF1	0.00246894099958398	0.38279536516176	0.2	0.018	1	B cells	0.182
RALGAPA2	0.00249727633675954	0.779641365761324	0.4	0.068	1	B cells	0.332
P2RX5-TAX1BP3	0.00256630581228831	0.383113116967781	0.2	0.018	1	B cells	0.182
CYB5R3	0.00267625086104708	0.664808185075035	0.4	0.067	1	B cells	0.333
EXOC8	0.00277164336400059	0.377900021679148	0.2	0.018	1	B cells	0.182
RPAP1	0.00292031739142798	0.482778487688447	0.2	0.019	1	B cells	0.181
IMPDH2	0.00304032245830189	0.790224569084494	0.6	0.153	1	B cells	0.447
GMNN	0.0031075601415145	0.958060940393114	0.4	0.075	1	B cells	0.325
STAU1	0.00318475313193158	0.659365742995997	0.4	0.068	1	B cells	0.332
ZNF268	0.00320470960722755	0.33994707078969	0.2	0.019	1	B cells	0.181
LINC00963	0.00326453106672463	0.380989466339319	0.2	0.019	1	B cells	0.181
MAD1L1	0.00332536816655565	0.335298845758149	0.2	0.019	1	B cells	0.181
MBNL2	0.00338165924412049	0.651883250947197	0.4	0.068	1	B cells	0.332
FAAP20	0.00345015034483606	0.378265952547833	0.2	0.019	1	B cells	0.181
ACCS	0.00345015034483606	0.334180939997861	0.2	0.019	1	B cells	0.181
LINC01481	0.00345015034483606	0.334095697184575	0.2	0.019	1	B cells	0.181
TAF1B	0.00369196523450791	0.642284578012529	0.4	0.071	1	B cells	0.329
SETD1A	0.0037906295352087	0.463223856547662	0.2	0.019	1	B cells	0.181
TCOF1	0.00390438400951621	0.703049571305457	0.4	0.075	1	B cells	0.325
PHF6	0.00395118135082539	0.651731769441366	0.4	0.071	1	B cells	0.329
HDAC4	0.00399850268863172	0.460626433242083	0.2	0.019	1	B cells	0.181
C18orf8	0.00399850268863172	0.383308873811712	0.2	0.019	1	B cells	0.181
DNMT1	0.00404137064476167	0.775071272317239	0.6	0.156	1	B cells	0.444
IQGAP3	0.00414277873550605	0.442718420037	0.2	0.019	1	B cells	0.181
CCDC115	0.00414277873550605	0.439865247351637	0.2	0.019	1	B cells	0.181
CD99L2	0.00414277873550605	0.339527351631535	0.2	0.019	1	B cells	0.181
HMBOX1	0.00426759102634991	0.639921722317539	0.4	0.071	1	B cells	0.329
LRTOMT	0.00452436029115447	0.333926143317216	0.2	0.019	1	B cells	0.181
TTC33	0.00452436029115447	0.332723417361942	0.2	0.019	1	B cells	0.181
ATRIP	0.00457712683753711	0.482856213887563	0.2	0.02	1	B cells	0.18
PCBD1	0.00465632424486119	0.478507721889244	0.2	0.02	1	B cells	0.18
RNPEP	0.00465632424486119	0.464256097572696	0.2	0.02	1	B cells	0.18
KMT2E-AS1	0.00466926808197896	0.621183815282063	0.4	0.073	1	B cells	0.327
FAM118A	0.00473676037852643	0.445763384363005	0.2	0.02	1	B cells	0.18
TEX261	0.00481845215633382	0.463227283239603	0.2	0.02	1	B cells	0.18
ERMP1	0.00481845215633382	0.461960801177576	0.2	0.02	1	B cells	0.18
BCAS3	0.00498567125682022	0.46308193593668	0.2	0.02	1	B cells	0.18
PIGF	0.00533594260485992	0.374237125446619	0.2	0.02	1	B cells	0.18
ANKRD13B	0.00542691355298839	0.376842653971345	0.2	0.02	1	B cells	0.18
ME1	0.00544719812452957	0.58046372008305	0.2	0.021	1	B cells	0.179
C1orf27	0.00547254631761176	0.595639776357552	0.4	0.073	1	B cells	0.327
POLR3G	0.00553803230079003	0.565649606376984	0.2	0.021	1	B cells	0.179
RNU4ATAC	0.00559648780438898	0.546999468577023	0.4	0.072	1	B cells	0.328
BCLAF3	0.00561306771500528	0.373335105102872	0.2	0.02	1	B cells	0.18
CXCL3	0.00563023117879501	0.478215258918436	0.2	0.021	1	B cells	0.179
ARID2	0.00565274821754926	0.620788880660362	0.4	0.075	1	B cells	0.325
FXYD5	0.00569053844601185	0.79980958542806	0.4	0.084	1	B cells	0.316
AHCTF1	0.00589146240540154	0.595487259669642	0.4	0.074	1	B cells	0.326
TRIB1	0.00593605147090874	0.701923510358111	0.4	0.079	1	B cells	0.321
IFIT2	0.00600275459058042	0.366547963094781	0.2	0.02	1	B cells	0.18
GALNT11	0.00601303248899057	0.444867918315863	0.2	0.021	1	B cells	0.179
NCOA2	0.006098618303844	0.637278607777201	0.4	0.076	1	B cells	0.324
